taxpayer_id,tax_year,gross_income,taxable_income,deductions_claimed,tax_due,filing_status
1,2018,12736.71,11878.79,857.92,2375.76,2
2,2018,15333.51,14874.24,459.27,2974.85,1
3,2018,25973.78,22472.04,3501.74,4494.41,4
4,2018,16100.37,13457.78,2642.59,2691.56,2
5,2018,18894.61,18615.57,279.04,3723.11,1
6,2018,17120.31,15575.7,1544.61,3115.14,1
7,2018,13419.11,11252.42,2166.69,2250.48,2
8,2018,51657.09,49764.93,1892.16,9952.99,2
9,2018,32683.14,29842.59,2840.55,5968.52,4
10,2018,199491.84,195179.86,4311.98,39035.97,2
11,2018,39636.42,36385.25,3251.17,7277.05,1
12,2018,28570.1,25640.87,2929.23,5128.17,1
13,2018,17664.22,15293.48,2370.74,3058.7,1
14,2018,13242.62,12625.36,617.26,2525.07,1
15,2018,11566.36,10818.07,748.29,2163.61,2
16,2018,56035.74,53494.23,2541.51,10698.85,2
17,2018,15600.87,14109.95,1490.92,2821.99,4
18,2018,5455.0,5433.94,21.06,1086.79,1
19,2018,10683.79,10261.44,422.35,2052.29,2
20,2018,18929.49,18337.39,592.1,3667.48,2
21,2018,18029.74,13217.45,4812.29,2643.49,1
22,2018,23494.88,21408.69,2086.19,4281.74,2
23,2018,49796.41,48636.08,1160.33,9727.22,2
24,2018,105687.88,102740.4,2947.48,20548.08,1
25,2018,46087.77,42349.06,3738.71,8469.81,3
26,2018,95573.08,93998.57,1574.51,18799.71,4
27,2018,39482.54,33946.94,5535.6,6789.39,2
28,2018,24608.6,22142.84,2465.76,4428.57,1
29,2018,76841.37,70256.28,6585.09,14051.26,4
30,2018,4905.75,4585.14,320.61,917.03,4
31,2018,41163.14,38921.25,2241.89,7784.25,2
32,2018,13973.1,10945.96,3027.14,2189.19,1
33,2018,13899.33,11221.71,2677.62,2244.34,2
34,2018,18884.87,16247.38,2637.49,3249.48,1
35,2018,38120.11,37182.03,938.08,7436.41,1
36,2018,6752.81,5489.31,1263.5,1097.86,3
37,2018,16069.37,14737.57,1331.8,2947.51,4
38,2018,72305.55,71366.84,938.71,14273.37,1
39,2018,58680.41,57465.02,1215.39,11493.0,3
40,2018,76186.49,71866.27,4320.22,14373.25,2
41,2018,17058.44,14795.84,2262.6,2959.17,2
42,2018,99930.7,93981.98,5948.72,18796.4,1
43,2018,15936.43,15336.69,599.74,3067.34,2
44,2018,32282.06,29862.29,2419.77,5972.46,1
45,2018,81152.57,80709.14,443.43,16141.83,2
46,2018,36664.21,34072.91,2591.3,6814.58,2
47,2018,24040.62,21511.43,2529.19,4302.29,1
48,2018,48120.98,46382.02,1738.96,9276.4,1
49,2018,12980.21,10776.37,2203.84,2155.27,2
50,2018,5595.13,4283.36,1311.77,856.67,2
51,2018,16475.42,14851.32,1624.1,2970.26,4
52,2018,14688.79,12533.35,2155.44,2506.67,1
53,2018,52377.95,49919.22,2458.73,9983.84,1
54,2018,7982.6,6538.79,1443.81,1307.76,2
55,2018,62348.29,60775.23,1573.06,12155.05,1
56,2018,68139.9,66022.72,2117.18,13204.54,4
57,2018,4330.71,3947.53,383.18,789.51,1
58,2018,130850.43,129512.15,1338.28,25902.43,1
59,2018,23230.05,19055.69,4174.36,3811.14,2
60,2018,29906.91,27921.19,1985.72,5584.24,1
61,2018,42987.26,34758.53,8228.73,6951.71,2
62,2018,13321.58,13026.48,295.1,2605.3,2
63,2018,477208.52,475253.19,1955.33,95050.64,1
64,2018,18830.0,15121.83,3708.17,3024.37,1
65,2018,9967.49,7367.84,2599.65,1473.57,2
66,2018,10476.4,9432.58,1043.82,1886.52,1
67,2018,14992.02,14085.99,906.03,2817.2,1
68,2018,16029.85,14207.96,1821.89,2841.59,2
69,2018,21286.38,20454.88,831.5,4090.98,2
70,2018,355293.04,353269.01,2024.03,70653.8,1
71,2018,50970.04,50374.41,595.63,10074.88,4
72,2018,27776.62,26004.0,1772.62,5200.8,2
73,2018,210000.25,207093.98,2906.27,41418.8,1
74,2018,100355.99,100313.39,42.6,20062.68,1
75,2018,9340.71,8026.83,1313.88,1605.37,2
76,2018,27838.42,23381.54,4456.88,4676.31,2
77,2018,86128.37,78179.29,7949.08,15635.86,1
78,2018,32202.8,28631.48,3571.32,5726.3,1
79,2018,48408.41,40625.2,7783.21,8125.04,2
80,2018,6772.14,4747.07,2025.07,949.41,2
81,2018,22405.39,21426.85,978.54,4285.37,1
82,2018,1704.45,1384.45,320.0,276.89,2
83,2018,31942.0,29996.92,1945.08,5999.38,1
84,2018,90383.09,87837.8,2545.29,17567.56,1
85,2018,41295.03,40106.05,1188.98,8021.21,2
86,2018,42982.29,41839.14,1143.15,8367.83,4
87,2018,61881.26,58673.69,3207.57,11734.74,1
88,2018,154732.15,153822.68,909.47,30764.54,2
89,2018,26232.44,24534.27,1698.17,4906.85,1
90,2018,6954.32,5864.91,1089.41,1172.98,1
91,2018,25831.02,24257.12,1573.9,4851.42,4
92,2018,18645.2,17345.99,1299.21,3469.2,4
93,2018,15740.54,14543.8,1196.74,2908.76,2
94,2018,17612.39,13117.37,4495.02,2623.47,1
95,2018,71126.61,69953.32,1173.29,13990.66,3
96,2018,61692.79,57366.06,4326.73,11473.21,2
97,2018,30108.62,26394.61,3714.01,5278.92,1
98,2018,28179.37,27168.69,1010.68,5433.74,1
99,2018,31942.5,29260.27,2682.23,5852.05,2
100,2018,12855.59,11589.23,1266.36,2317.85,4
101,2018,4148.26,2940.36,1207.9,588.07,1
102,2018,29735.11,27819.37,1915.74,5563.87,1
103,2018,35638.8,25325.63,10313.17,5065.13,4
104,2018,18865.66,17973.65,892.01,3594.73,2
105,2018,60022.11,54861.49,5160.62,10972.3,1
106,2018,21247.52,20317.87,929.65,4063.57,4
107,2018,23774.2,19424.25,4349.95,3884.85,1
108,2018,33284.5,28297.2,4987.3,5659.44,1
109,2018,8584.44,8174.88,409.56,1634.98,1
110,2018,62259.72,58893.45,3366.27,11778.69,1
111,2018,31500.25,26393.18,5107.07,5278.64,3
112,2018,12965.9,10607.39,2358.51,2121.48,2
113,2018,23526.23,17013.14,6513.09,3402.63,1
114,2018,15435.3,14439.03,996.27,2887.81,4
115,2018,145447.03,144664.44,782.59,28932.89,4
