taxpayer_id,birth_year,region_code,sex
1,1952,04,1
2,1950,01,1
3,1982,02,1
4,1971,03,1
5,1975,04,1
6,1972,04,1
7,1987,03,2
8,1956,04,1
9,1982,01,1
10,1951,01,2
11,1997,02,1
12,1975,01,1
13,1954,01,2
14,1974,01,1
15,1997,03,2
16,1996,04,2
17,1994,01,2
18,1983,04,2
19,1975,04,2
20,1931,01,1
21,1977,03,2
22,1977,04,2
23,1975,05,2
24,1992,02,1
25,1983,04,2
26,1962,02,1
27,1969,03,2
28,1981,05,2
29,1963,04,1
30,1933,01,1
31,2004,05,1
32,1984,02,1
33,1965,04,2
34,1962,02,2
35,1980,01,1
36,1956,03,2
37,2002,05,1
38,1980,03,1
39,1960,02,2
40,1961,03,1
41,1957,01,2
42,1951,05,2
43,1962,05,1
44,1961,02,1
45,1971,01,2
46,1941,04,2
47,1998,03,2
48,1978,01,2
49,1957,05,1
50,1999,01,2
51,1998,01,2
52,1954,02,1
53,1971,02,1
54,1972,01,1
55,1963,01,1
56,1964,04,1
57,1977,02,1
58,1998,02,2
59,1963,02,2
60,1985,03,1
61,1950,03,2
62,1960,01,2
63,1988,02,1
64,2005,02,1
65,2002,01,2
66,1968,01,1
67,2006,03,2
68,1989,05,1
69,1973,02,2
70,1967,01,1
71,1977,05,1
72,1994,02,1
73,1968,03,1
74,1973,02,1
75,1975,02,1
76,1966,01,2
77,1972,01,2
78,1969,02,1
79,1973,02,1
80,1944,01,2
81,1990,01,2
82,2006,01,2
83,1983,01,2
84,1987,04,2
85,1994,04,1
86,1956,05,1
87,1969,04,2
88,1976,01,1
89,2000,01,1
90,1959,03,2
91,1970,03,2
92,1972,01,1
93,1967,02,1
94,1945,03,1
95,1985,02,1
96,1985,05,2
97,1978,01,1
98,1979,03,1
99,1981,02,1
100,1984,03,1
101,1954,04,1
102,1959,05,1
103,1952,05,1
104,1975,01,1
105,1978,01,1
106,1995,01,1
107,1978,01,2
108,1998,01,2
109,1952,03,1
110,1968,04,1
111,1990,04,2
112,2001,04,1
113,1968,03,2
114,1978,01,1
115,1961,01,1
116,1972,04,1
117,2005,04,1
118,1977,03,1
119,1978,01,2
120,1963,01,1
121,1941,01,1
122,1996,02,2
123,1947,05,1
124,1951,02,2
125,1976,03,2
126,1965,03,2
127,1989,04,1
128,1963,02,1
129,1980,05,1
130,1959,01,1
131,1985,01,2
132,1974,01,1
133,1975,02,1
134,1973,05,1
135,1975,03,1
136,1951,01,2
137,1978,03,1
138,1973,05,2
139,1972,02,2
140,1989,02,2
141,1970,03,2
142,1970,05,1
143,1981,01,1
144,1985,02,2
145,1985,04,2
146,1958,02,1
147,1969,03,2
148,1958,02,1
149,1971,01,2
150,1959,01,2
151,1981,02,2
152,1974,03,2
153,1988,02,1
154,1959,04,1
155,1983,02,1
156,1989,01,1
157,1998,05,2
